ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS
4213	Khoitam	this	this	ɔ-tʰɛː	ɔ+tʰɛː	ɔ + tʰ ɛː		1145 1143	1145 1144	ɔ + tʰ - ɛː	n + i n	1145 1143
4214	Rahung	this	this	tʰə-ɛː	tʰə+ɛː	tʰ ə + ɛː		1143 557	1143 1144	tʰ - ə + ɛː	i n + n	1143 557
4215	Rupa	this	this	tʰwaː ~ tʰu-waː ~ tʰaː ~ ɔ-tʰ-gɔː ~ tʰū-gɔː ~ tʰə-gɔː	tʰwaː	tʰ w aː		1143	1143	tʰ w aː	i m n	1143
4216	Shergaon	this	this	tʰaː-ji	tʰaː+ji	tʰ aː + j i		1143 555	1143 1144	tʰ - aː + j i	i n + i n	1143 555
4217	Khispi	thorn	thorn	pʰe-zɔ ~ pʰe-ʥɔ	pʰe+zɔ	pʰ e + z ɔ		1147 1146	1147 1146	pʰ e + z ɔ -	i n + i n	1147 1146
4218	Duhumbi	thorn	thorn	pʰi-ʥɔˀ	pʰi+ʥɔˀ	pʰ i + dʑ ɔˀ		1147 1146	1147 1146	pʰ i + dʑ ɔˀ -	i n + i n	1147 1146
4219	Khoina	thorn	thorn	ba-zɔ	ba+zɔ	b a + z ɔ		1147 1146	1147 1146	b a + z ɔ -	i n + i n	1147 1146
4220	Jerigaon	thorn	thorn	bə-zɔ	bə+zɔ	b ə + z ɔ		1147 1146	1147 1146	b ə + z ɔ -	i n + i n	1147 1146
4221	Khoitam	thorn	thorn	bə-zɔː	bə+zɔː	b ə + z ɔː		1147 1146	1147 1146	b ə + z ɔː -	i n + i n	1147 1146
4222	Rahung	thorn	thorn	bə-zoː	bə+zoː	b ə + z oː		1147 1146	1147 1146	b ə + z oː -	i n + i n	1147 1146
4223	Rupa	thorn	thorn	bə-zaw	bə+zaw	b ə + z a w		1147 1146	1147 1146	b ə + z a w	i n + i n c	1147 1146
4224	Shergaon	thorn	thorn	bə-zaw	bə+zaw	b ə + z a w		1147 1146	1147 1146	b ə + z a w	i n + i n c	1147 1146
4225	Khispi	thousand	thousand	tɔŋ-ta	tɔŋ+ta	t ɔ ŋ + t a		1149 1148	1149 1148	t ɔ ŋ + t a	i n c + i n	1149 1148
4226	Duhumbi	thousand	thousand	tɔŋ-ta ~ tɔŋ-ʈa	tɔŋ+ta	t ɔ ŋ + t a		1149 1148	1149 1148	t ɔ ŋ + t a	i n c + i n	1149 1148
4227	Khoina	thousand	thousand	tɔŋ-tʂʰaː	tɔŋ+tʂʰaː	t ɔ ŋ + ʈʂʰ aː		1149 1148	1149 1148	t ɔ ŋ + ʈʂʰ aː	i n c + i n	1149 1148
4228	Jerigaon	thousand	thousand	tɔŋ-ta	tɔŋ+ta	t ɔ ŋ + t a		1149 1148	1149 1148	t ɔ ŋ + t a	i n c + i n	1149 1148
4229	Khoitam	thousand	thousand	tɔŋ-tʰɔ	tɔŋ+tʰɔ	t ɔ ŋ + tʰ ɔ		1149 1148	1149 1148	t ɔ ŋ + tʰ ɔ	i n c + i n	1149 1148
4230	Rahung	thousand	thousand	tɔŋ-tʰɔ	tɔŋ+tʰɔ	t ɔ ŋ + tʰ ɔ		1149 1148	1149 1148	t ɔ ŋ + tʰ ɔ	i n c + i n	1149 1148
4233	Khispi	thread	thread	hwaŋ	hwaŋ	hw a ŋ		1150	1150	hw a ŋ	i n c	1150
4234	Duhumbi	thread	thread	hwaŋ	hwaŋ	hw a ŋ		1150	1150	hw a ŋ	i n c	1150
4235	Khoina	thread	thread	xaŋ	xaŋ	x a ŋ		1150	1150	x a ŋ	i n c	1150
4236	Jerigaon	thread	thread	haŋ	haŋ	h a ŋ		1150	1150	h a ŋ	i n c	1150
4237	Khoitam	thread	thread	haŋ	haŋ	h a ŋ		1150	1150	h a ŋ	i n c	1150
4238	Rahung	thread	thread	haŋ	haŋ	h a ŋ		1150	1150	h a ŋ	i n c	1150
4239	Rupa	thread	thread	haŋ	haŋ	h a ŋ		1150	1150	h a ŋ	i n c	1150
4240	Shergaon	thread	thread	haŋ	haŋ	h a ŋ		1150	1150	h a ŋ	i n c	1150
4241	Khispi	three	three	ɔm	ɔm	ɔ m		1151	1152	ɔ m	n c	1151
4242	Duhumbi	three	three	ɔm	ɔm	ɔ m		1151	1152	ɔ m	n c	1151
4243	Khoina	three	three	ũː	ũː	ũː		1151	1153	ũː -	n	1151
4244	Jerigaon	three	three	uŋ	uŋ	u ŋ		1151	1151	u ŋ	n c	1151
4245	Khoitam	three	three	uŋ	uŋ	u ŋ		1151	1151	u ŋ	n c	1151
4246	Rahung	three	three	uŋ	uŋ	u ŋ		1151	1151	u ŋ	n c	1151
4247	Rupa	three	three	uŋ	uŋ	u ŋ		1151	1151	u ŋ	n c	1151
4248	Shergaon	three	three	uŋ	uŋ	u ŋ		1151	1151	u ŋ	n c	1151
4249	Khispi	throw	throw	tɔs	tɔs	t ɔ s		1154	1154	t ɔ s	i n c	1048
4250	Duhumbi	throw	throw	tɔs	tɔs	t ɔ s		1154	1154	t ɔ s	i n c	1048
4251	Khoina	throw	throw	tʰøˀ	tʰøˀ	tʰ øˀ		1154	1154	tʰ øˀ -	i n	1048
4252	Jerigaon	throw	throw	tʰøˀ	tʰøˀ	tʰ øˀ		1154	1154	tʰ øˀ -	i n	1048
4253	Khoitam	throw	throw	tʰeˀ	tʰeˀ	tʰ eˀ		1154	1154	tʰ eˀ -	i n	1048
4255	Rupa	throw	throw	tʰøˀ	tʰøˀ	tʰ øˀ		1154	1154	tʰ øˀ -	i n	1048
4261	Khoitam	thunder (vi)	thunder (vi)	nəmyː hyk	nəmyː_hyk	n ə + m yː _ h y k		1156 1157 1155	1156 1155	n ə + m yː + h y k	i n + i n + i n c	872 284 1155
4263	Rupa	thunder (vi)	thunder (vi)	nə-myː hyp ~ nə-myː hyk (C.)	nə+myː_hyp	n ə + m yː _ h y p		1156 1157 1155	1156 1157 1155	n ə + m yː + h y p	i n + i n + i n c	872 284 1155
4264	Shergaon	thunder (vi)	thunder (vi)	nimiː huk	nimiː_huk	n i + m iː _ h u k		1156 1157 1155	1156 1155	n i + m iː + h u k	i n + i n + i n c	872 284 1155
4265	Khispi	tie (vt)	tie (vt)	kʰak	kʰak	kʰ a k		1158	1158	kʰ a k	i n c	1158
4266	Duhumbi	tie (vt)	tie (vt)	kʰak	kʰak	kʰ a k		1158	1158	kʰ a k	i n c	1158
4267	Khoina	tie (vt)	tie (vt)	xɐk	xɐk	x ɐ k		1158	1158	x ɐ k	i n c	1158
4268	Jerigaon	tie (vt)	tie (vt)	hɐk	hɐk	h ɐ k		1158	1158	h ɐ k	i n c	1158
4269	Khoitam	tie (vt)	tie (vt)	hak	hak	h a k		1158	1158	h a k	i n c	1158
4270	Rahung	tie (vt)	tie (vt)	kʰak	kʰak	kʰ a k		1158	1158	kʰ a k	i n c	1158
4271	Rupa	tie (vt)	tie (vt)	hak	hak	h a k		1158	1158	h a k	i n c	1158
4272	Shergaon	tie (vt)	tie (vt)	hak	hak	h a k		1158	1158	h a k	i n c	1158
4273	Khispi	tiger	tiger	pʰu-ɲam	pʰu+ɲam	pʰ u + ɲ a m		1159 1160	1159 1160	pʰ u + ɲ a m	i n + i n c	1159 1160
4274	Duhumbi	tiger	tiger	pʰu-ɲam	pʰu+ɲam	pʰ u + ɲ a m		1159 1160	1159 1160	pʰ u + ɲ a m	i n + i n c	1159 1160
4275	Khoina	tiger	tiger	pʰũː	pʰũː	pʰ ũː		1159	1159	pʰ ũː	i n	1159
4276	Jerigaon	tiger	tiger	pʰɔ̃ː	pʰɔ̃ː	pʰ ɔ̃ː		1159	1159	pʰ ɔ̃ː	i n	1159
4277	Khoitam	tiger	tiger	pʰũː	pʰũː	pʰ ũː		1159	1159	pʰ ũː	i n	1159
4278	Rahung	tiger	tiger	pʰũː	pʰũː	pʰ ũː		1159	1159	pʰ ũː	i n	1159
4279	Rupa	tiger	tiger	pʰũː	pʰũː	pʰ ũː		1159	1159	pʰ ũː	i n	1159
4280	Shergaon	tiger	tiger	pʰɔ̃ː	pʰɔ̃ː	pʰ ɔ̃ː		1159	1159	pʰ ɔ̃ː	i n	1159
4283	Khoina	till (hoe)	till (hoe)	ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		1161	1161	tɕʰ ɔ k	i n c	1161
4284	Jerigaon	till (hoe)	till (hoe)	ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		1161	1161	tɕʰ ɔ k	i n c	1161
4285	Khoitam	till (hoe)	till (hoe)	ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		1161	1161	tɕʰ ɔ k	i n c	1161
4286	Rahung	till (hoe)	till (hoe)	ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		1161	1161	tɕʰ ɔ k	i n c	1161
4287	Rupa	till (hoe)	till (hoe)	ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		1161	1161	tɕʰ ɔ k	i n c	1161
4288	Shergaon	till (hoe)	till (hoe)	ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		1161	1161	tɕʰ ɔ k	i n c	1161
4290	Duhumbi	tired (vi)	tired (vi)	ʥɛj	ʥɛj	dʑ ɛ j		1162	1162	dʑ ɛ j	i n c	1162
4291	Khoina	tired (vi)	tired (vi)	ʣeː ~ ʣɛː	ʣeː	dz eː		1162	1162	dz eː -	i n	1162
4292	Jerigaon	tired (vi)	tired (vi)	ʥeː	ʥeː	dʑ eː		1162	1162	dʑ eː -	i n	1162
4293	Khoitam	tired (vi)	tired (vi)	ʥeː	ʥeː	dʑ eː		1162	1162	dʑ eː -	i n	1162
4295	Rupa	tired (vi)	tired (vi)	ʣeː	ʣeː	dz eː		1162	1162	dz eː -	i n	1162
4297	Khispi	today	today	tʰa-la	tʰa+la	tʰ a + l a		1164 1163	1164 1163	tʰ a + l a	i n + i n	1164 1163
4298	Duhumbi	today	today	tʰa-la	tʰa+la	tʰ a + l a		1164 1163	1164 1163	tʰ a + l a	i n + i n	1164 1163
4299	Khoina	today	today	tʰa-luː	tʰa+luː	tʰ a + l uː		1164 1163	1164 1163	tʰ a + l uː	i n + i n	1164 1163
4300	Jerigaon	today	today	tʰ-luː	tʰ+luː	tʰ + l uː		1164 1163	1164 1163	tʰ - + l uː	i + i n	1164 1163
4301	Khoitam	today	today	tʰ-ruː	tʰ+ruː	tʰ + r uː		1164 1163	1164 1163	tʰ - + r uː	i + i n	1164 1163
4302	Rahung	today	today	tʰ-ruː	tʰ+ruː	tʰ + r uː		1164 1163	1164 1163	tʰ - + r uː	i + i n	1164 1163
4303	Rupa	today	today	tʰə-luː	tʰə+luː	tʰ ə + l uː		1164 1163	1164 1163	tʰ ə + l uː	i n + i n	1164 1163
4304	Shergaon	today	today	tʰə-luː	tʰə+luː	tʰ ə + l uː		1164 1163	1164 1163	tʰ ə + l uː	i n + i n	1164 1163
4305	Khispi	together with	together with	de-kʰɔ	de+kʰɔ	d e + kʰ ɔ		1166 1165	1166 1165	d e - + kʰ ɔ	i n + i n	1166 645
4306	Duhumbi	together with	together with	dɛp-kʰɔ	dɛp+kʰɔ	d ɛ p + kʰ ɔ		1166 1165	1166 1165	d ɛ p + kʰ ɔ	i n c + i n	1166 645
4308	Jerigaon	together with	together with	dɛː-gu	dɛː+gu	d ɛː + g u		1166 1165	1166 1165	d ɛː - + g u	i n + i n	1166 645
4309	Khoitam	together with	together with	dɛp-gyː	dɛp+gyː	d ɛ p + g yː		1166 1165	1166 1165	d ɛ p + g yː	i n c + i n	1166 645
4310	Rahung	together with	together with	dɛp-kʰɔ ~ dɛˀ-kʰɔ	dɛp+kʰɔ	d ɛ p + kʰ ɔ		1166 1165	1166 1165	d ɛ p + kʰ ɔ	i n c + i n	1166 645
4311	Rupa	together with	together with	dɛp-gɔ ~ dɛk-gɔ	dɛp+gɔ	d ɛ p + g ɔ		1166 1165	1166 1165	d ɛ p + g ɔ	i n c + i n	1166 645
4312	Shergaon	together with	together with	dɛp-kʰɔ	dɛp+kʰɔ	d ɛ p + kʰ ɔ		1166 1165	1166 1165	d ɛ p + kʰ ɔ	i n c + i n	1166 645
4313	Khispi	tomorrow	tomorrow	nam-saŋ	nam+saŋ	n a m + s a ŋ		573 1167	1169 1167	n a m + s a ŋ	i n c + i n c	33 1167
4314	Duhumbi	tomorrow	tomorrow	nam-saŋ	nam+saŋ	n a m + s a ŋ		573 1167	1169 1167	n a m + s a ŋ	i n c + i n c	33 1167
4315	Khoina	tomorrow	tomorrow	bə-saŋ	bə+saŋ	b ə + s a ŋ		1169 1167	1170 1167	b ə + s a ŋ	i n + i n c	1169 1167
4316	Jerigaon	tomorrow	tomorrow	mə-saŋ	mə+saŋ	m ə + s a ŋ		1169 1167	1168 1167	m ə + s a ŋ	i n + i n c	1169 1167
4317	Khoitam	tomorrow	tomorrow	my-saŋ	my+saŋ	m y + s a ŋ		1169 1167	1168 1167	m y + s a ŋ	i n + i n c	1169 1167
4318	Rahung	tomorrow	tomorrow	p-saŋ	p+saŋ	p + s a ŋ		1169 1167	1170 1167	p - + s a ŋ	i + i n c	1169 1167
4319	Rupa	tomorrow	tomorrow	mə-saŋ ~ bə-saŋ-la	mə+saŋ	m ə + s a ŋ		1169 1167	1168 1167	m ə + s a ŋ	i n + i n c	1169 1167
4320	Shergaon	tomorrow	tomorrow	mə-saŋ	mə+saŋ	m ə + s a ŋ		1169 1167	1168 1167	m ə + s a ŋ	i n + i n c	1169 1167
4321	Khispi	tongue	tongue	luj	luj	l u j		1171	1171	l u j	i n c	1171
4322	Duhumbi	tongue	tongue	lɔj	lɔj	l ɔ j		1171	1171	l ɔ j	i n c	1171
4323	Khoina	tongue	tongue	laː	laː	l aː		1171	1171	l aː -	i n	1171
4324	Jerigaon	tongue	tongue	lɛː	lɛː	l ɛː		1171	1171	l ɛː -	i n	1171
4325	Khoitam	tongue	tongue	lɛː	lɛː	l ɛː		1171	1171	l ɛː -	i n	1171
4326	Rahung	tongue	tongue	lɛː	lɛː	l ɛː		1171	1171	l ɛː -	i n	1171
4327	Rupa	tongue	tongue	laː-pʰɔ̃ ~ laː-fɔ̃ː	laː+pʰɔ̃	l aː + pʰ ɔ̃		1171 1172	1171 1172	l aː - + pʰ ɔ̃	i n + i n	1171 1172
4328	Shergaon	tongue	tongue	laː	laː	l aː		1171	1171	l aː -	i n	1171
4329	Khispi	tooth	tooth	ɕin-tuŋ	ɕin+tuŋ	ɕ i n + t u ŋ		1175 1173	1175 1173	ɕ i n + t u ŋ	i n c + i n c	1175 944
4330	Duhumbi	tooth	tooth	hin-tuŋ	hin+tuŋ	h i n + t u ŋ		1175 1173	1175 1173	h i n + t u ŋ	i n c + i n c	1175 944
4331	Khoina	tooth	tooth	ny-tʰyŋ	ny+tʰyŋ	n y + tʰ y ŋ		1175 1173	1174 1173	n y - + tʰ y ŋ	i n + i n c	1175 944
4332	Jerigaon	tooth	tooth	nə-tʰyŋ	nə+tʰyŋ	n ə + tʰ y ŋ		1175 1173	1174 1173	n ə - + tʰ y ŋ	i n + i n c	1175 944
4333	Khoitam	tooth	tooth	nə-tʰyŋ	nə+tʰyŋ	n ə + tʰ y ŋ		1175 1173	1174 1173	n ə - + tʰ y ŋ	i n + i n c	1175 944
4334	Rahung	tooth	tooth	pʰ-tʰyŋ	pʰ+tʰyŋ	pʰ + tʰ y ŋ		1175 1173	1176 1173	pʰ - - + tʰ y ŋ	i + i n c	1175 944
4336	Shergaon	tooth	tooth	nə-tʰuŋ	nə+tʰuŋ	n ə + tʰ u ŋ		1175 1173	1174 1173	n ə - + tʰ u ŋ	i n + i n c	1175 944
4337	Khispi	trivet	trivet	pɛɹ-ʨʰu-du ~ pɛl-ʨʰu-lu	pɛɹ+ʨʰu+du	p ɛ ɹ + tɕʰ u + d u		1179 1177 1178	1179 1177 1181	p ɛ ɹ + tɕʰ u - + d u	i n c + i n + i n	1179 1177 510
4338	Duhumbi	trivet	trivet	pɛɹ-ʑam-ɕup ~ pɛɹ-ʑam-ʑu	pɛɹ+ʑam+ɕup	p ɛ ɹ + ʑ a m + ɕ u p		1179 580 1177	1179 1177 1180	p ɛ ɹ + ʑ a m + ɕ u p	i n c + i n c + i n c	1179 580 1177
4339	Khoina	trivet	trivet	dy-ʐyː	dy+ʐyː	d y + ʐ yː		1178 1177	1178 1177	d y + ʐ yː -	i n + i n	543 1177
4340	Jerigaon	trivet	trivet	də-zyː	də+zyː	d ə + z yː		1178 1177	1178 1177	d ə + z yː -	i n + i n	543 1177
4341	Khoitam	trivet	trivet	ʨĩ(ŋ)-zyː	ʨĩ+zyː	tɕ ĩ + z yː		586 1177	1178 1177	tɕ ĩ + z yː -	i n + i n	586 1177
4342	Rahung	trivet	trivet	ʨĩ(ŋ)-zyː	ʨĩ+zyː	tɕ ĩ + z yː		586 1177	1178 1177	tɕ ĩ + z yː -	i n + i n	586 1177
4343	Rupa	trivet	trivet	zə-zyː	zə+zyː	z ə + z yː		586 1177	1178 1177	z ə + z yː -	i n + i n	586 1177
4344	Shergaon	trivet	trivet	ʨi-zi	ʨi+zi	tɕ i + z i		586 1177	1178 1177	tɕ i + z i -	i n + i n	586 1177
4347	Khoina	trunk (tree)	trunk (tree)	hiŋ la-tʰyŋ	hiŋ_la+tʰyŋ	h i ŋ _ l a + tʰ y ŋ		1183 1184 1182	1183 1184 1182	h i ŋ + l a + tʰ y ŋ	i n c + i n + i n c	1084 222 283
4348	Jerigaon	trunk (tree)	trunk (tree)	hiŋ lə-tʰyŋ	hiŋ_lə+tʰyŋ	h i ŋ _ l ə + tʰ y ŋ		1183 1184 1182	1183 1184 1182	h i ŋ + l ə + tʰ y ŋ	i n c + i n + i n c	1084 222 283
4349	Khoitam	trunk (tree)	trunk (tree)	hiŋ lə-tʰyŋ	hiŋ_lə+tʰyŋ	h i ŋ _ l ə + tʰ y ŋ		1183 1184 1182	1183 1184 1182	h i ŋ + l ə + tʰ y ŋ	i n c + i n + i n c	1084 222 283
4350	Rahung	trunk (tree)	trunk (tree)	hiŋ la-tʰyŋ	hiŋ_la+tʰyŋ	h i ŋ _ l a + tʰ y ŋ		1183 1184 1182	1183 1184 1182	h i ŋ + l a + tʰ y ŋ	i n c + i n + i n c	1084 222 283
4351	Rupa	trunk (tree)	trunk (tree)	hiŋ-tʰyŋ	hiŋ+tʰyŋ	h i ŋ + tʰ y ŋ		1183 1182	1183 1182	h i ŋ + tʰ y ŋ	i n c + i n c	1084 283
4353	Khispi	tuber	tuber	ʥa	ʥa	dʑ a		1185	1185	dʑ a	i n	552
4354	Duhumbi	tuber	tuber	ʥa	ʥa	dʑ a		1185	1185	dʑ a	i n	552
4355	Khoina	tuber	tuber	ʥuː	ʥuː	dʑ uː		1185	1185	dʑ uː	i n	552
4356	Jerigaon	tuber	tuber	ʥuː	ʥuː	dʑ uː		1185	1185	dʑ uː	i n	552
4357	Khoitam	tuber	tuber	ʥuː	ʥuː	dʑ uː		1185	1185	dʑ uː	i n	552
4358	Rahung	tuber	tuber	ʥuː	ʥuː	dʑ uː		1185	1185	dʑ uː	i n	552
4359	Rupa	tuber	tuber	ʥuː ~ ɟuː	ʥuː	dʑ uː		1185	1185	dʑ uː	i n	552
4360	Shergaon	tuber	tuber	ʥuː	ʥuː	dʑ uː		1185	1185	dʑ uː	i n	552
4363	Khoina	tusk	tusk	neˀ	neˀ	n eˀ		1186	1186	n eˀ	i n	1186
4365	Khoitam	tusk	tusk	niˀ	niˀ	n iˀ		1186	1186	n iˀ	i n	1186
4366	Rahung	tusk	tusk	niˀ	niˀ	n iˀ		1186	1186	n iˀ	i n	1186
4367	Rupa	tusk	tusk	ɲeˀ	ɲeˀ	ɲ eˀ		1186	1186	ɲ eˀ	i n	1186
4369	Khispi	twenty	twenty	kʰej ~ kʰaj	kʰej	kʰ e j		1187	1187	kʰ e j	i n c	1187
4370	Duhumbi	twenty	twenty	kʰɛj	kʰɛj	kʰ ɛ j		1187	1187	kʰ ɛ j	i n c	1187
4371	Khoina	twenty	twenty	kʰɐ̃ː	kʰɐ̃ː	kʰ ɐ̃ː		1187	1187	kʰ ɐ̃ː -	i n	1187
4372	Jerigaon	twenty	twenty	kʰɐ̃ː	kʰɐ̃ː	kʰ ɐ̃ː		1187	1187	kʰ ɐ̃ː -	i n	1187
4373	Khoitam	twenty	twenty	kʰaː	kʰaː	kʰ aː		1187	1187	kʰ aː -	i n	1187
4374	Rahung	twenty	twenty	kʰɔ̃ː	kʰɔ̃ː	kʰ ɔ̃ː		1187	1187	kʰ ɔ̃ː -	i n	1187
4375	Rupa	twenty	twenty	kʰaːj	kʰaːj	kʰ aː j		1187	1187	kʰ aː j	i n c	1187
4376	Shergaon	twenty	twenty	kʰaː	kʰaː	kʰ aː		1187	1187	kʰ aː -	i n	1187
4378	Duhumbi	twist	twist	kʰik	kʰik	kʰ i k		1188	1188	kʰ i k	i n c	1188
4379	Khoina	twist	twist	tʂʰiˀ	tʂʰiˀ	ʈʂʰ iˀ		1188	1188	ʈʂʰ iˀ -	i n	1188
4381	Khoitam	twist	twist	ʨʰiˀ	ʨʰiˀ	tɕʰ iˀ		1188	1188	tɕʰ iˀ -	i n	1188
4382	Rahung	twist	twist	ʨʰeˀ	ʨʰeˀ	tɕʰ eˀ		1188	1188	tɕʰ eˀ -	i n	1188
4383	Rupa	twist	twist	kʰeˀ	kʰeˀ	kʰ eˀ		1188	1188	kʰ eˀ -	i n	1188
4385	Khispi	two	two	ɲis	ɲis	ɲ i s		1189	1189	ɲ i s	i n c	1189
4386	Duhumbi	two	two	ɲis	ɲis	ɲ i s		1189	1189	ɲ i s	i n c	1189
4387	Khoina	two	two	nik	nik	n i k		1189	1189	n i k	i n c	1189
4388	Jerigaon	two	two	nik	nik	n i k		1189	1189	n i k	i n c	1189
4389	Khoitam	two	two	nik	nik	n i k		1189	1189	n i k	i n c	1189
4390	Rahung	two	two	nik	nik	n i k		1189	1189	n i k	i n c	1189
4391	Rupa	two	two	ɲik	ɲik	ɲ i k		1189	1189	ɲ i k	i n c	1189
4392	Shergaon	two	two	ɲit	ɲit	ɲ i t		1189	1189	ɲ i t	i n c	1189
4393	Khispi	under, below	under, below	kʰa	kʰa	kʰ a		1190	1190	kʰ a	i n	52
4394	Duhumbi	under, below	under, below	kʰa	kʰa	kʰ a		1190	1190	kʰ a	i n	52
4395	Khoina	under, below	under, below	kʰuː	kʰuː	kʰ uː		1190	1190	kʰ uː	i n	52
4396	Jerigaon	under, below	under, below	kʰuː	kʰuː	kʰ uː		1190	1190	kʰ uː	i n	52
4397	Khoitam	under, below	under, below	kʰuː	kʰuː	kʰ uː		1190	1190	kʰ uː	i n	52
4398	Rahung	under, below	under, below	kʰuː	kʰuː	kʰ uː		1190	1190	kʰ uː	i n	52
4399	Rupa	under, below	under, below	kʰuː	kʰuː	kʰ uː		1190	1190	kʰ uː	i n	52
4400	Shergaon	under, below	under, below	kʰuː	kʰuː	kʰ uː		1190	1190	kʰ uː	i n	52
4401	Khispi	up there	up there1	lja ~ ljɛ ~ lɛj	lja	l j a		1191	1191	l j a -	i m n	1191
4402	Duhumbi	up there	up there1	lja ~ lje ~ ljɛ ~ lɛj	lja	l j a		1191	1191	l j a -	i m n	1191
4403	Khoina	up there	up there1	laŋ	laŋ	l a ŋ		1191	1191	l - a ŋ	i n c	1191
4404	Jerigaon	up there	up there1	laŋ	laŋ	l a ŋ		1191	1191	l - a ŋ	i n c	1191
4405	Khoitam	up there	up there1	laŋ	laŋ	l a ŋ		1191	1191	l - a ŋ	i n c	1191
4407	Rupa	up there	up there1	laŋ	laŋ	l a ŋ		1191	1191	l - a ŋ	i n c	1191
4408	Shergaon	up there	up there1	laŋ	laŋ	l a ŋ		1191	1191	l - a ŋ	i n c	1191
4412	Jerigaon	up there	up there2	tʰaŋ	tʰaŋ	tʰ a ŋ		576	1191	tʰ a ŋ	i n c	576
4413	Khoitam	up there	up there2	tʰaŋ	tʰaŋ	tʰ a ŋ		576	1191	tʰ a ŋ	i n c	576
4414	Rahung	up there	up there2	tʰaŋ	tʰaŋ	tʰ a ŋ		576	1191	tʰ a ŋ	i n c	576
4415	Rupa	up there	up there2	tʰaŋ	tʰaŋ	tʰ a ŋ		576	1191	tʰ a ŋ	i n c	576
4416	Shergaon	up there	up there2	tʰaŋ	tʰaŋ	tʰ a ŋ		576	1191	tʰ a ŋ	i n c	576
4417	Khispi	up; ascend	up; ascend	kʰuŋ	kʰuŋ	kʰ u ŋ		1192	1192	kʰ u ŋ	i n c	61
4418	Duhumbi	up; ascend	up; ascend	kʰuŋ	kʰuŋ	kʰ u ŋ		1192	1192	kʰ u ŋ	i n c	61
4419	Khoina	up; ascend	up; ascend	kʰyŋ	kʰyŋ	kʰ y ŋ		1192	1192	kʰ y ŋ	i n c	61
4420	Jerigaon	up; ascend	up; ascend	kʰyŋ	kʰyŋ	kʰ y ŋ		1192	1192	kʰ y ŋ	i n c	61
4421	Khoitam	up; ascend	up; ascend	kʰyŋ	kʰyŋ	kʰ y ŋ		1192	1192	kʰ y ŋ	i n c	61
4422	Rahung	up; ascend	up; ascend	kʰyŋ	kʰyŋ	kʰ y ŋ		1192	1192	kʰ y ŋ	i n c	61
4423	Rupa	up; ascend	up; ascend	kʰyŋ	kʰyŋ	kʰ y ŋ		1192	1192	kʰ y ŋ	i n c	61
4424	Shergaon	up; ascend	up; ascend	kʰuŋ	kʰuŋ	kʰ u ŋ		1192	1192	kʰ u ŋ	i n c	61
4425	Khispi	uproot	uproot	pʰɔk	pʰɔk	pʰ ɔ k		1194	1194	pʰ ɔ k	i n c	1194
4426	Duhumbi	uproot	uproot	pʰɔk	pʰɔk	pʰ ɔ k		1194	1194	pʰ ɔ k	i n c	1194
4429	Khoitam	uproot	uproot	pʰiŋ	pʰiŋ	pʰ i ŋ		1194	1193	pʰ i ŋ	i n c	1194
4431	Rupa	uproot	uproot	pʰiŋ ~ pʰyŋ	pʰiŋ	pʰ i ŋ		1194	1193	pʰ i ŋ	i n c	1194
4433	Khispi	urine	urine	ʑi	ʑi	ʑ i		1195	1195	ʑ i	i n	1195
4434	Duhumbi	urine	urine	ʑi	ʑi	ʑ i		1195	1195	ʑ i	i n	1195
4435	Khoina	urine	urine	ziː	ziː	z iː		1195	1195	z iː	i n	1195
4436	Jerigaon	urine	urine	ziː	ziː	z iː		1195	1195	z iː	i n	1195
4437	Khoitam	urine	urine	ziː	ziː	z iː		1195	1195	z iː	i n	1195
4438	Rahung	urine	urine	ziː	ziː	z iː		1195	1195	z iː	i n	1195
4439	Rupa	urine	urine	ziː	ziː	z iː		1195	1195	z iː	i n	1195
4440	Shergaon	urine	urine	ziː	ziː	z iː		1195	1195	z iː	i n	1195
4441	Khispi	vagina	vagina	tʰu	tʰu	tʰ u		1196	1196	tʰ u -	i n	1196
4442	Duhumbi	vagina	vagina	tʰu	tʰu	tʰ u		1196	1196	tʰ u -	i n	1196
4447	Rupa	vagina	vagina	tʰaw	tʰaw	tʰ a w		1196	1196	tʰ a w	i n c	1196
4448	Shergaon	vagina	vagina	tʰaw	tʰaw	tʰ a w		1196	1196	tʰ a w	i n c	1196
4449	Khispi	vegetable, leafy	vegetable, leafy	daŋ	daŋ	d a ŋ		1197	1197	d a ŋ	i n c	1197
4450	Duhumbi	vegetable, leafy	vegetable, leafy	daŋ	daŋ	d a ŋ		1197	1197	d a ŋ	i n c	1197
4451	Khoina	vegetable, leafy	vegetable, leafy	daŋ	daŋ	d a ŋ		1197	1197	d a ŋ	i n c	1197
4452	Jerigaon	vegetable, leafy	vegetable, leafy	daŋ	daŋ	d a ŋ		1197	1197	d a ŋ	i n c	1197
